eITMS Code,Manufacturer,Model,Lab,Aisle,Location In Aisle,Financial Owner Department,Status,Serial Number,Project Name,Project Organization,Project ID
005C6CD,AGILENT,1730B,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,MY43461502,SDU Spares,SDU-RTP10,3
005C6CE,CISCO,NP 1200,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,01KZ47019511,SDU Spares,SDU-RTP10,3
005C6CF,AGILENT,1730B,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,MY43051519,SDU Spares,SDU-RTP10,3
005C6D0,CISCO,15454-10DME-C,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CAT1317B20Z,SDU Spares,SDU-RTP10,3
005C6D1,CISCO,15454-40-WSS-C,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CAT1315B1TU,SDU Spares,SDU-RTP10,3
005C6D2,M2 OPTICS,FIBER LAB 3200,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,CS0507-01,SDU Spares,SDU-RTP10,3
005C6D3,MRV,LX-5250-24VYS1,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,AABC0001329,SDU Spares,SDU-RTP10,3
005C6D4,CISCO,15454-OPT-BST,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,SNNO-005C6D4,SDU Spares,SDU-RTP10,3
005C6D5,CISCO,15454-40-DMX-C,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CAT1314B14L,SDU Spares,SDU-RTP10,3
005C6D6,CISCO,15454-OPT-AMP-17C,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CAT1314B0X5,SDU Spares,SDU-RTP10,3
005C6D7,CISCO,15454-OTU2-XP,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CA61319B00H,SDU Spares,SDU-RTP10,3
005C6D8,CISCO,15454-OTU2-XP,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CA61314B01G,SDU Spares,SDU-RTP10,3
005C6D9,CISCO,"RACK: 19"" - 7FT",RTP10 SDU Lab,JJ,06,020022838,ACTIVE,103471684,SDU Spares,SDU-RTP10,3
005C6DA,MRV,LX-5250-24VYS1,RTP10 SDU Lab,JJ,06,020022838,ACTIVE,AABC0001096,SDU Spares,SDU-RTP10,3
005C6DB,CISCO,15216-DCU-100,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,OFS1308000Q,SDU Spares,SDU-RTP10,3
005C6DC,CISCO,WS-C2950-24,RTP10 SDU Lab,JJ,03,020022838,ACTIVE,FHK0709Z0T4,SDU Spares,SDU-RTP10,3
005C6DD,AGILENT,1735A,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,01735-66401006ZZ510000037,SDU Spares,SDU-RTP10,3
005C6DE,CISCO,15454-SA-HD,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,SAT10330BW1,SDU Spares,SDU-RTP10,3
005C6DF,MRV,LX-5250-24VYS1,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,AABC0001344,SDU Spares,SDU-RTP10,3
005C6E0,CISCO,15454-OTU2-XP,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CA61314B001,SDU Spares,SDU-RTP10,3
005C6E1,EMC2,EMC2 AVAMAR,RTP10 SDU Lab,J,30,020022838,ACTIVE,103471679,SDU Spares,SDU-RTP10,3
005C6E2,CISCO,15454-40-WSS-C,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CAT1315B1U6,SDU Spares,SDU-RTP10,3
